"Time (EpMin)","Strand Name","Range (km)"
325,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
330,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
335,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
340,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
345,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
350,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
355,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
360,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
365,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
370,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
375,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
380,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
385,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
390,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
395,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
400,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
405,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
410,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
415,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
420,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
425,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
430,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
435,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
440,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
445,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
450,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
455,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
460,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
465,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
470,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
475,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
480,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
485,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
490,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
495,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
500,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
505,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
510,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
515,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
520,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
525,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
530,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
535,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
540,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
545,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
550,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
555,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
560,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
565,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
570,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
575,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
580,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
585,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
590,"Satellite/GEO2 To Facility/Maui_HI_AMOS",39945
